can_id,frame_count,dlc,unique_payloads,first_relative_s,last_relative_s,median_period_s,example_payload
0x00000580,229,5,1,0.008428,228.659397,1.002827,080D031C3B
0x00000898,229,5,1,0.628023,228.74437,1.000476,080A00D48C
0x00000B88,227,5,1,0.938825,228.962155,1.003599,080B00E68C
0x00000B90,228,5,1,0.127555,228.369397,1.003332,080B006E3F
0x00000F80,222,5,1,0.595478,228.493404,1.030539,0812057042
0x00001008,227,5,1,0.445569,228.105974,1.004053,030000FFFF
0x00001010,227,5,1,0.574936,228.779423,1.010003,030000FFFF
0x00001020,227,5,1,0.650497,228.698058,1.000324,023200FFFF
0x00080000,2,7,2,55.710423,115.246439,59.536016,1A081101110F00
0x00501008,84,8,55,56.827406,213.412483,1.509055,7E0006000000FFFF
0x00501010,151,8,63,0.578008,227.782719,1.515018,0B0000000000FFFF
0x00501020,148,8,66,0.033578,228.410219,1.500674,820000000000FFFF
0x00521008,36,8,30,56.827994,193.084377,3.910154,FFFF3101FFFFFFFF
0x00521010,27,8,22,56.73923,194.707892,5.332843,FFFF3001FFFFFFFF
0x00541008,4,8,2,56.828567,193.084972,25.959229,6301030700006400
0x00541010,4,8,2,56.739804,194.708945,28.043936,6301030700006400
0x00541020,5,8,3,59.482226,184.0123,23.814626,6301000100006400
0x00561008,84,8,11,1.463804,227.587168,1.500119,850080000C3C2CFF
0x00561010,94,8,29,0.0,228.102668,1.50014,84000A000C282CFF
0x00561020,42,8,37,52.062227,195.105501,1.50036,000006000C19FAFF
0x005A1008,4,8,2,59.381882,179.570076,22.673683,F401FFFFFFFFFFFF
0x005A1010,4,8,2,57.27088,178.448412,21.923399,F401FFFFFFFFFFFF
0x005A1020,5,8,3,58.540249,179.66178,16.338004,F401FFFFFFFFFFFF
0x02040580,569,8,16,0.086595,228.731619,0.261325,00540040004F0001
0x02040898,61,4,22,7.88525,225.200449,0.253892,00E60032
0x02040B88,59,8,27,55.575386,179.295305,0.264838,0000000000000014
0x02040B90,50,8,27,55.649528,179.424812,0.261254,0000000000000014
0x02060580,775,6,153,0.092547,228.737475,0.261153,001E00010083
0x02060B88,52,4,20,52.273626,197.47948,1.027069,00787FFF
0x02140898,4,1,2,61.229158,189.600479,18.077943,02
0x02140B88,6,1,4,50.362973,178.618487,3.119469,10
0x02140B90,2,1,2,55.295856,178.605165,123.309309,04
0x02160B88,3,8,3,49.661277,177.380525,63.859624,0000010100000000
0x02400B88,4,1,3,144.487504,166.120721,8.671878,01
0x02400B90,4,1,3,67.590816,123.375366,15.284819,01
0x02420B88,6,1,3,41.428459,163.98907,8.466251,01
0x02420B90,10,1,3,32.402518,121.216715,1.542625,01
0x02440B88,7,1,5,49.666932,177.641176,4.361978,02
0x02460B88,2,1,2,49.658548,177.378315,127.719767,01
0x06020580,47,6,30,5.251845,223.469973,2.40273,35050A4E4800
0x06060580,49,6,33,5.650993,221.466175,2.402717,36050B4E4900
0x060A0580,38,6,28,1.263731,214.682447,2.407032,3505094E4800
0x060E0580,43,6,31,1.662889,222.285305,4.783894,3505084E4800
0x06120580,51,6,36,4.45436,225.065328,2.402811,35050D4E4A00
0x06160580,49,6,33,7.246016,225.464087,2.405362,3405104E4A00
