line_number,timestamp,relative_seconds,interface,can_id,data_hex,category,name,value,unit,datatype,endian,scale,offset,confidence,status,notes
574,1786979657.430805,32.402518,can1,02420B90,01,panel,ac_panel_requested_source,OFF,enum,uint8 enum,,1,0,high,confirmed,Enum established by the operator's ordered OFF/shore/generator actions.
574,1786979657.430805,32.402518,can1,02420B90,01,panel,ac_panel_requested_source_raw,1,raw,uint8,,1,0,high,confirmed,
620,1786979659.850477,34.82219,can1,02420B90,01,panel,ac_panel_requested_source,OFF,enum,uint8 enum,,1,0,high,confirmed,Enum established by the operator's ordered OFF/shore/generator actions.
620,1786979659.850477,34.82219,can1,02420B90,01,panel,ac_panel_requested_source_raw,1,raw,uint8,,1,0,high,confirmed,
646,1786979661.393102,36.364815,can1,02420B90,01,panel,ac_panel_requested_source,OFF,enum,uint8 enum,,1,0,high,confirmed,Enum established by the operator's ordered OFF/shore/generator actions.
646,1786979661.393102,36.364815,can1,02420B90,01,panel,ac_panel_requested_source_raw,1,raw,uint8,,1,0,high,confirmed,
662,1786979662.351578,37.323291,can1,02420B90,01,panel,ac_panel_requested_source,OFF,enum,uint8 enum,,1,0,high,confirmed,Enum established by the operator's ordered OFF/shore/generator actions.
662,1786979662.351578,37.323291,can1,02420B90,01,panel,ac_panel_requested_source_raw,1,raw,uint8,,1,0,high,confirmed,
682,1786979663.510176,38.481889,can1,02420B90,01,panel,ac_panel_requested_source,OFF,enum,uint8 enum,,1,0,high,confirmed,Enum established by the operator's ordered OFF/shore/generator actions.
682,1786979663.510176,38.481889,can1,02420B90,01,panel,ac_panel_requested_source_raw,1,raw,uint8,,1,0,high,confirmed,
689,1786979663.961204,38.932917,can1,02420B90,02,panel,ac_panel_requested_source,SHORE,enum,uint8 enum,,1,0,high,confirmed,Enum established by the operator's ordered OFF/shore/generator actions.
689,1786979663.961204,38.932917,can1,02420B90,02,panel,ac_panel_requested_source_raw,2,raw,uint8,,1,0,high,confirmed,
697,1786979664.350092,39.321805,can1,02420B90,02,panel,ac_panel_requested_source,SHORE,enum,uint8 enum,,1,0,high,confirmed,Enum established by the operator's ordered OFF/shore/generator actions.
697,1786979664.350092,39.321805,can1,02420B90,02,panel,ac_panel_requested_source_raw,2,raw,uint8,,1,0,high,confirmed,
731,1786979666.456746,41.428459,can1,02420B88,01,panel,house_panel_requested_source,OFF,enum,uint8 enum,,1,0,high,confirmed,Enum established by the operator's ordered OFF/shore/generator actions.
731,1786979666.456746,41.428459,can1,02420B88,01,panel,house_panel_requested_source_raw,1,raw,uint8,,1,0,high,confirmed,
762,1786979668.045898,43.017611,can1,02420B88,01,panel,house_panel_requested_source,OFF,enum,uint8 enum,,1,0,high,confirmed,Enum established by the operator's ordered OFF/shore/generator actions.
762,1786979668.045898,43.017611,can1,02420B88,01,panel,house_panel_requested_source_raw,1,raw,uint8,,1,0,high,confirmed,
