line_number,timestamp,relative_seconds,interface,can_id,data_hex,signal,raw_value,engineering_value,state_before,state_after,transition_phase,accepted,confidence,notes
885,1786979674.686835,49.658548,can1,02460B88,01,EXTERNAL_START_COMMAND,1,START,UNKNOWN,STARTING,start,True,high,0x02460B88#01 begins the externally requested START transaction.
887,1786979674.695219,49.666932,can1,02440B88,02,STARTING_STATUS_CONFIRMED,2,STARTING,STARTING,STARTING,start,True,high,0x02440B88 values 0x02 and 0x03 confirm STARTING.
899,1786979675.396872,50.368585,can1,02440B88,03,STARTING_STATUS_CONFIRMED,3,STARTING,STARTING,STARTING,start,True,high,0x02440B88 values 0x02 and 0x03 confirm STARTING.
931,1786979677.190913,52.162626,can1,02440B88,02,STARTING_STATUS_CONFIRMED,2,STARTING,STARTING,STARTING,start,True,high,0x02440B88 values 0x02 and 0x03 confirm STARTING.
1086,1786979683.568536,58.540249,can1,005A1020,F401FFFFFFFFFFFF,RUNNING_FREQUENCY_MILESTONE,500,50.0,STARTING,RUNNING,start,True,high,0x005A1020 reached 50.0 Hz during an active START transaction.
1102,1786979684.120828,59.092541,can1,02440B88,03,STARTING_STATUS_LINGER,3,STARTING,RUNNING,RUNNING,start,True,high,STARTING status observed after the 50 Hz milestone; retained current running state rather than regressing.
1544,1786979704.629281,79.600994,can1,02440B88,01,RUNNING_SETTLED_STATUS,1,RUNNING_SETTLED,RUNNING,RUNNING_SETTLED,none,True,high,0x02440B88#01 is the settled terminal state after startup.
2754,1786979770.503743,145.475456,can1,005A1020,0000FFFFFFFFFFFF,AC_ABSENT_OUTSIDE_STOP_TRANSACTION,0,0.0,RUNNING_SETTLED,RUNNING_SETTLED,none,False,high for frequency; context required for lifecycle,0.0 Hz without active STOP; lifecycle unchanged.
3231,1786979792.730427,167.702140,can1,005A1020,F401FFFFFFFFFFFF,AC_PRESENT_OUTSIDE_START_TRANSACTION,500,50.0,RUNNING_SETTLED,RUNNING_SETTLED,none,False,high for frequency; context required for lifecycle,50.0 Hz without active START; lifecycle unchanged.
3427,1786979802.406602,177.378315,can1,02460B88,02,EXTERNAL_STOP_COMMAND,2,STOP,RUNNING_SETTLED,STOPPING,stop,True,high,0x02460B88#02 begins the externally requested STOP transaction.
3429,1786979802.414478,177.386191,can1,02440B88,05,STOPPING_STATUS_CONFIRMED,5,STOPPING,STOPPING,STOPPING,stop,True,high,0x02440B88 values 0x05 and 0x04 confirm STOPPING.
3436,1786979802.669463,177.641176,can1,02440B88,04,STOPPING_STATUS_CONFIRMED,4,STOPPING,STOPPING,STOPPING,stop,True,high,0x02440B88 values 0x05 and 0x04 confirm STOPPING.
3451,1786979803.179750,178.151463,can1,005A1020,9001FFFFFFFFFFFF,STOP_FREQUENCY_DECAY,400,40.0,STOPPING,STOPPING,stop,True,high for frequency,Non-zero transitional frequency during STOP.
3499,1786979804.690067,179.661780,can1,005A1020,0000FFFFFFFFFFFF,STOPPED_FREQUENCY_MILESTONE,0,0.0,STOPPING,STOPPED,stop,True,high,0x005A1020 reached 0.0 Hz during an active STOP transaction.
