step,line,relative_s,panel,kind,raw,decoded,frame
1,885,49.658548,Generator,command,0x01,START,02460B88#01
2,1276,66.07619,AC panel,request,0x01,OFF,02420B90#01
3,1311,67.590816,AC panel,applied,0x01,OFF,02400B90#01
4,2028,106.121466,AC panel,request,0x02,SHORE,02420B90#02
5,2055,107.487786,AC panel,applied,0x02,SHORE,02400B90#02
6,2318,121.216715,AC panel,request,0x04,GENERATOR,02420B90#04
7,2353,122.772605,AC panel,applied,0x01,OFF,02400B90#01
8,2365,123.375366,AC panel,applied,0x04,GENERATOR,02400B90#04
9,2702,142.946875,House panel,request,0x01,OFF,02420B88#01
10,2731,144.487504,House panel,applied,0x01,OFF,02400B88#01
11,2965,155.522819,House panel,request,0x02,SHORE,02420B88#02
12,2992,156.876785,House panel,applied,0x02,SHORE,02400B88#02
13,3147,163.98907,House panel,request,0x04,GENERATOR,02420B88#04
14,3181,165.548663,House panel,applied,0x01,OFF,02400B88#01
15,3195,166.120721,House panel,applied,0x04,GENERATOR,02400B88#04
16,3427,177.378315,Generator,command,0x02,STOP,02460B88#02
