line,relative_s,frame,explanation
72,4.212473,02040580#0054003F004F0001,"Tank frame: 0x0054=84% water, 0x003F=63% diesel 1, 0x004F=79% diesel 2."
93,5.251845,06020580#35050A4E4800,House-battery candidate: 0x0535 LE=1333 -> 13.33 V; current code +10; field3=72.
1,0.0,00561010#84000A000C282CFF,Charger 1010 signature: dynamic words plus 0x0C=12 and 0x28=40 candidate rating.
25,1.463804,00561008#850080000C3C2CFF,Charger 1008 signature: 0x0C=12 and 0x3C=60 candidate rating.
928,52.062227,00561020#000006000C19FAFF,Charger 1020 signature: 0x0C=12 and 0x19=25 candidate rating.
1113,59.381882,005A1008#F401FFFFFFFFFFFF,Charger 1008 frequency: 0x01F4 LE=500 -> 50.0 Hz.
1276,66.07619,02420B90#01,AC panel source request OFF (0x01).
1311,67.590816,02400B90#01,AC panel applied OFF (0x01).
2028,106.121466,02420B90#02,AC panel source request SHORE (0x02).
2055,107.487786,02400B90#02,AC panel applied SHORE (0x02).
2318,121.216715,02420B90#04,AC panel source request GENERATOR (0x04).
2353,122.772605,02400B90#01,AC panel safe intermediate applied OFF.
2365,123.375366,02400B90#04,AC panel applied GENERATOR.
2702,142.946875,02420B88#01,House panel source request OFF.
2731,144.487504,02400B88#01,House panel applied OFF.
2965,155.522819,02420B88#02,House panel source request SHORE.
2988,156.801601,02140898#03,AC/generator module ramp-up marker (0x03).
2992,156.876785,02400B88#02,House panel applied SHORE.
3147,163.98907,02420B88#04,House panel source request GENERATOR.
3181,165.548663,02400B88#01,House panel safe intermediate applied OFF.
3195,166.120721,02400B88#04,House panel applied GENERATOR.
3318,171.522536,02140898#02,AC/generator module ramp-down marker (0x02).
3680,189.600479,02140898#03,AC/generator module ramp-up marker (0x03).
1797,93.648477,00501008#8700D1003809FFFF,"Charger telemetry hypothesis: 13.5 V DC, 20.9 A, 236.0 V AC, 0xFFFF unavailable."
885,49.658548,02460B88#01,Confirmed direct generator START command: uint8 enum value 0x01.
3427,177.378315,02460B88#02,Confirmed direct generator STOP command: uint8 enum value 0x02.
